Using GPU : 0 from 4 devices
Random Seed: 8543
classes:40
num_batch:307.59375
[0: 100/307] train loss: 2.362339 accuracy: 0.375000
[0: 200/307] train loss: 2.410264 accuracy: 0.375000
[0: 300/307] train loss: 1.846440 accuracy: 0.500000
[0: ] [94mtest[0m loss: 2.599530 accuracy: 0.399109
[1: 100/307] train loss: 2.403698 accuracy: 0.375000
[1: 200/307] train loss: 1.985968 accuracy: 0.406250
[1: 300/307] train loss: 1.432589 accuracy: 0.593750
[2: 100/307] train loss: 1.736673 accuracy: 0.531250
[2: 200/307] train loss: 1.943191 accuracy: 0.468750
[2: 300/307] train loss: 1.784224 accuracy: 0.468750
[3: 100/307] train loss: 1.438392 accuracy: 0.562500
[3: 200/307] train loss: 2.013690 accuracy: 0.531250
[3: 300/307] train loss: 1.147902 accuracy: 0.562500
[4: 100/307] train loss: 1.383868 accuracy: 0.562500
[4: 200/307] train loss: 1.372773 accuracy: 0.593750
[4: 300/307] train loss: 1.681782 accuracy: 0.531250
[5: 100/307] train loss: 1.419035 accuracy: 0.500000
[5: 200/307] train loss: 1.859374 accuracy: 0.437500
[5: 300/307] train loss: 1.218351 accuracy: 0.593750
[6: 100/307] train loss: 1.672655 accuracy: 0.406250
[6: 200/307] train loss: 1.345537 accuracy: 0.562500
[6: 300/307] train loss: 1.316261 accuracy: 0.625000
[7: 100/307] train loss: 1.222948 accuracy: 0.593750
[7: 200/307] train loss: 1.357219 accuracy: 0.593750
[7: 300/307] train loss: 1.449391 accuracy: 0.593750
[8: 100/307] train loss: 0.969272 accuracy: 0.687500
[8: 200/307] train loss: 1.632995 accuracy: 0.625000
[8: 300/307] train loss: 1.103785 accuracy: 0.750000
[9: 100/307] train loss: 1.012074 accuracy: 0.718750
[9: 200/307] train loss: 0.956337 accuracy: 0.781250
[9: 300/307] train loss: 1.235310 accuracy: 0.656250
[9: ] [94mtest[0m loss: 0.143970 accuracy: 0.600486
[10: 100/307] train loss: 1.074890 accuracy: 0.656250
[10: 200/307] train loss: 1.160650 accuracy: 0.625000
[10: 300/307] train loss: 1.040243 accuracy: 0.687500
[11: 100/307] train loss: 1.299726 accuracy: 0.625000
[11: 200/307] train loss: 0.784742 accuracy: 0.781250
[11: 300/307] train loss: 1.072477 accuracy: 0.656250
[12: 100/307] train loss: 1.145047 accuracy: 0.718750
[12: 200/307] train loss: 0.984057 accuracy: 0.781250
[12: 300/307] train loss: 0.864724 accuracy: 0.781250
[13: 100/307] train loss: 0.946326 accuracy: 0.718750
[13: 200/307] train loss: 1.178152 accuracy: 0.625000
[13: 300/307] train loss: 1.149272 accuracy: 0.687500
[14: 100/307] train loss: 1.133387 accuracy: 0.656250
[14: 200/307] train loss: 0.745922 accuracy: 0.781250
[14: 300/307] train loss: 0.883710 accuracy: 0.593750
[15: 100/307] train loss: 0.787587 accuracy: 0.781250
[15: 200/307] train loss: 1.012903 accuracy: 0.750000
[15: 300/307] train loss: 0.929139 accuracy: 0.687500
[16: 100/307] train loss: 0.539242 accuracy: 0.812500
[16: 200/307] train loss: 1.002616 accuracy: 0.718750
[16: 300/307] train loss: 0.952796 accuracy: 0.781250
[17: 100/307] train loss: 1.518284 accuracy: 0.593750
[17: 200/307] train loss: 0.787912 accuracy: 0.781250
[17: 300/307] train loss: 0.963827 accuracy: 0.718750
[18: 100/307] train loss: 0.737975 accuracy: 0.750000
[18: 200/307] train loss: 0.948928 accuracy: 0.718750
[18: 300/307] train loss: 0.856654 accuracy: 0.750000
[18: ] [94mtest[0m loss: 0.905242 accuracy: 0.685575
[19: 100/307] train loss: 1.237439 accuracy: 0.781250
[19: 200/307] train loss: 0.922240 accuracy: 0.687500
[19: 300/307] train loss: 0.471177 accuracy: 0.906250
[20: 100/307] train loss: 0.542157 accuracy: 0.875000
[20: 200/307] train loss: 0.863862 accuracy: 0.750000
[20: 300/307] train loss: 0.904798 accuracy: 0.687500
[21: 100/307] train loss: 1.279392 accuracy: 0.562500
[21: 200/307] train loss: 0.650307 accuracy: 0.781250
